Annotation	Gene-Symbol
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	IRF7
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	ISG15
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	ISG20
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	LILRB1
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	LILRA1
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	MS4A7
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	MTSS1
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	RHOC
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	SERPINA1
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	SIGLEC10
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	STAT1
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	TCF7L2
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	TNFSF10
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	TNFSF13B
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-FlowSort	CD14
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-FlowSort	FCGR3A
